order,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,total,superkingdom,kingdom,phylum,class,tax
Lachnospirales,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Bacteria;Bacteria_none;Bacillota;Clostridia;Lachnospirales
Moorellales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Bacteria;Bacteria_none;Bacillota;Clostridia;Moorellales
Peptostreptococcales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Bacteria;Bacteria_none;Bacillota;Clostridia;Peptostreptococcales
Thermoanaerobacterales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Clostridia,Bacteria;Bacteria_none;Bacillota;Clostridia;Thermoanaerobacterales
Erysipelotrichales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Erysipelotrichia,Bacteria;Bacteria_none;Bacillota;Erysipelotrichia;Erysipelotrichales
Acidaminococcales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Negativicutes,Bacteria;Bacteria_none;Bacillota;Negativicutes;Acidaminococcales
Selenomonadales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Negativicutes,Bacteria;Bacteria_none;Bacillota;Negativicutes;Selenomonadales
Veillonellales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Negativicutes,Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales
Tissierellales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Tissierellia,Bacteria;Bacteria_none;Bacillota;Tissierellia;Tissierellales
Tissierellia_Incertae_sedis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacillota,Tissierellia,Bacteria;Bacteria_none;Bacillota;Tissierellia;Tissierellia_Incertae_sedis
Bacteroidales,0,3,0,1,3,1,2,3,0,1,3,0,0,0,0,0,0,2,0,0,2,0,0,0,1,Bacteria,Bacteria_none,Bacteroidota,Bacteroidia,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales
Marinilabiliales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacteroidota,Bacteroidia,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Marinilabiliales
Cytophagales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacteroidota,Cytophagia,Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales
Flavobacteriales,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Bacteria_none,Bacteroidota,Flavobacteriia,Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales
