order,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,total,superkingdom,kingdom,phylum,class,tax
Peptostreptococcales,0,25,25,16,0,0,26,239,0,0,105,0,0,0,0,0,0,430,31,0,14,0,301,0,1212,Bacteria,Bacteria_none,Bacillota,Clostridia,Bacteria;Bacteria_none;Bacillota;Clostridia;Peptostreptococcales
Thermoanaerobacterales,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796,0,813,Bacteria,Bacteria_none,Bacillota,Clostridia,Bacteria;Bacteria_none;Bacillota;Clostridia;Thermoanaerobacterales
Erysipelotrichales,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,Bacteria,Bacteria_none,Bacillota,Erysipelotrichia,Bacteria;Bacteria_none;Bacillota;Erysipelotrichia;Erysipelotrichales
Acidaminococcales,0,0,60,0,0,0,216,0,22,78,936,0,155,0,0,0,0,35,92,0,0,0,0,28,1622,Bacteria,Bacteria_none,Bacillota,Negativicutes,Bacteria;Bacteria_none;Bacillota;Negativicutes;Acidaminococcales
Selenomonadales,0,323,0,0,0,0,34,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,36,13,432,Bacteria,Bacteria_none,Bacillota,Negativicutes,Bacteria;Bacteria_none;Bacillota;Negativicutes;Selenomonadales
Veillonellales,0,0,0,0,0,0,0,0,0,16,39,0,0,0,0,0,0,0,34,0,20,0,0,0,109,Bacteria,Bacteria_none,Bacillota,Negativicutes,Bacteria;Bacteria_none;Bacillota;Negativicutes;Veillonellales
Tissierellales,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,88,0,142,Bacteria,Bacteria_none,Bacillota,Tissierellia,Bacteria;Bacteria_none;Bacillota;Tissierellia;Tissierellales
Tissierellia_Incertae_sedis,0,13,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,45,0,116,Bacteria,Bacteria_none,Bacillota,Tissierellia,Bacteria;Bacteria_none;Bacillota;Tissierellia;Tissierellia_Incertae_sedis
Bacteroidales,186,12065,179,411,2632,45,33125,10189,1182,1437,4499,0,1005,0,0,0,0,8481,148,0,990,0,2331,1298,80203,Bacteria,Bacteria_none,Bacteroidota,Bacteroidia,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Bacteroidales
Marinilabiliales,0,138,0,0,0,0,24,15,0,0,0,0,0,0,0,0,0,14,0,0,0,0,59,0,250,Bacteria,Bacteria_none,Bacteroidota,Bacteroidia,Bacteria;Bacteria_none;Bacteroidota;Bacteroidia;Marinilabiliales
Cytophagales,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,Bacteria,Bacteria_none,Bacteroidota,Cytophagia,Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales
Flavobacteriales,0,760,0,0,0,0,206,118,0,0,0,0,0,0,0,0,0,0,19,0,0,0,130,0,1233,Bacteria,Bacteria_none,Bacteroidota,Flavobacteriia,Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales
Saprospirales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,Bacteria,Bacteria_none,Bacteroidota,Saprospiria,Bacteria;Bacteria_none;Bacteroidota;Saprospiria;Saprospirales
Sphingobacteriales,0,533,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,606,Bacteria,Bacteria_none,Bacteroidota,Sphingobacteriia,Bacteria;Bacteria_none;Bacteroidota;Sphingobacteriia;Sphingobacteriales
