genus,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,total,superkingdom,kingdom,phylum,class,order,family,tax
Methanomethylophilus,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,12,0,0,0,43,Archaea,Archaea_none,Candidatus Thermoplasmatota,Thermoplasmata,Methanomassiliicoccales,Methanomethylophilaceae,Archaea;Archaea_none;Candidatus Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomethylophilaceae;Methanomethylophilus
Bacillus,0,0,0,0,0,0,284,38,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,670,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus
Cytobacillus,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,38,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Bacillaceae;Cytobacillus
Lysinibacillus,0,0,0,0,0,0,0,23,564,0,48,0,95,0,28,0,0,0,0,0,0,0,0,845,1603,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Bacillaceae;Lysinibacillus
Mesobacillus,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,18,0,47,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Bacillaceae;Mesobacillus
Metabacillus,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Bacillaceae;Metabacillus
Priestia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,63,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Bacillaceae;Priestia
Tepidibacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,42,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Bacillaceae;Tepidibacillus
Listeria,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,30,0,0,0,0,0,0,50,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Listeriaceae,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Listeriaceae;Listeria
Paenibacillus,0,0,0,0,0,0,193,58,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,325,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
Kurthia,0,23,0,0,0,0,0,301,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,370,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Planococcaceae,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Planococcaceae;Kurthia
Rummeliibacillus,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,26,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Planococcaceae,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Planococcaceae;Rummeliibacillus
Staphylococcus,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,404,0,497,Bacteria,Bacteria_none,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Bacteria;Bacteria_none;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
Aerococcus,0,193,0,0,0,0,0,19,0,0,19,0,12,0,0,0,0,81,0,0,0,0,0,0,324,Bacteria,Bacteria_none,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus
Globicatella,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Bacteria,Bacteria_none,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Globicatella
Ruoffia,0,148,0,0,0,0,23,26,0,15,28,0,0,0,0,0,0,23,0,0,0,0,0,0,263,Bacteria,Bacteria_none,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Ruoffia
Carnobacterium,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,55,Bacteria,Bacteria_none,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacterium
Desemzia,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,Bacteria,Bacteria_none,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Bacteria;Bacteria_none;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Desemzia
